GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0400000US01,01,Alabama,1841217,10615,42830,598,70.7,0.3,49652,722,25.9,0.3,28622,873,0.5,0.1,44340,9968,0.9,0.1,54577,10988,N,N,165733,118366,0.8,0.1,27688,2869,1.1,0.1,37563,5758,2.7,0.1,31664,2519,68.9,0.3,50076,594,4.0,0.2,23485,1808,31.4,0.4,46542,928,38.9,0.3,51117,731,25.7,0.2,33375,799,1232515,11755,53764,933,39.5,0.6,49727,1604,60.5,0.6,56266,949,70.6,0.6,68529,1175,23.1,0.5,24534,884,6.3,0.3,37343,2463,608702,10930,24240,668,54.6,0.8,20927,658,48.9,0.8,19638,608,5.7,0.4,37831,5042,45.4,0.8,29589,1529,38.3,0.8,26856,1103,7.1,0.5,42029,3591,34.2,(X),(X),(X),35.3,(X),(X),(X),30.9,(X),(X),(X)
0400000US02,02,Alaska,249659,2978,71583,1784,74.4,0.9,79626,3213,3.6,0.5,47226,14725,11.0,0.6,48721,2675,4.5,0.4,62348,10544,N,N,40227,19002,N,N,46040,30812,4.6,0.5,63909,5767,5.8,0.5,54996,9276,70.5,0.9,80656,2297,6.5,0.9,41542,4726,35.5,1.2,75947,3419,41.5,1.0,81990,2162,16.4,0.7,58311,4072,165015,3765,82307,2332,49.4,1.4,74787,3427,50.6,1.4,88744,3769,75.2,1.7,97254,3420,16.0,1.3,41181,4016,8.9,1.0,49872,4290,84644,3784,48029,2650,42.8,2.0,42386,3208,34.1,1.9,36643,2484,8.7,1.3,87500,11949,57.2,2.0,51712,2709,41.5,2.4,42138,4381,15.7,1.6,86237,7921,28.9,(X),(X),(X),29.2,(X),(X),(X),25.2,(X),(X),(X)
0400000US04,04,Arizona,2428743,11353,50068,483,83.0,0.3,51629,448,4.0,0.1,40064,2108,3.3,0.1,30293,2870,2.9,0.1,63943,3939,N,N,37113,16187,4.8,0.2,37428,1770,1.9,0.2,48202,3193,22.3,0.3,39180,1080,66.4,0.3,55321,662,4.6,0.2,27168,1452,32.4,0.3,54097,1165,36.3,0.3,59103,1374,26.7,0.3,40195,630,1579481,13962,59700,943,41.7,0.6,55294,1203,58.3,0.6,62350,987,72.3,0.6,71252,794,19.3,0.5,32303,756,8.5,0.4,42152,1682,849262,12195,31889,433,51.6,0.8,29136,891,42.1,0.8,25609,700,9.5,0.5,51314,2658,48.4,0.8,35958,783,36.7,0.8,30830,746,11.7,0.6,59966,2775,32.7,(X),(X),(X),33.1,(X),(X),(X),30.0,(X),(X),(X)
0400000US05,05,Arkansas,1131288,8373,41262,653,80.1,0.4,44780,976,15.4,0.4,27657,1683,0.6,0.1,31354,3662,1.1,0.1,62291,4773,N,N,33861,24287,1.2,0.2,34780,5352,1.5,0.2,34603,4460,4.6,0.2,35348,1947,76.9,0.4,45456,848,5.1,0.3,22998,2032,32.2,0.5,46814,1485,37.1,0.5,47426,1363,25.6,0.3,32897,1001,752212,9854,51528,921,41.3,0.9,47935,2238,58.7,0.9,53210,1358,72.7,0.8,61923,1097,20.2,0.7,25840,867,7.1,0.6,38832,2365,379076,9260,24142,845,51.6,1.4,19999,911,45.8,1.4,18274,941,5.8,0.5,35938,4887,48.4,1.4,29830,1348,39.5,1.3,27364,1520,8.9,0.8,41516,4375,29.3,(X),(X),(X),29.8,(X),(X),(X),27.2,(X),(X),(X)
0400000US06,06,California,12758648,18835,61933,238,66.6,0.2,65070,418,6.4,0.1,42509,1165,0.7,0.1,45956,2348,13.2,0.1,80080,1107,0.3,0.1,58537,5825,9.6,0.1,46015,722,3.1,0.1,60587,1368,28.5,0.1,47434,478,49.1,0.1,73017,624,3.1,0.1,29759,1024,34.9,0.1,65279,497,39.8,0.1,74074,583,22.2,0.1,45732,541,8762059,27318,71015,368,45.5,0.2,64828,910,54.5,0.2,75619,526,71.2,0.2,87072,562,20.0,0.2,36846,542,8.8,0.2,48928,999,3996589,24576,40842,335,52.7,0.3,35188,615,42.3,0.3,30089,461,10.3,0.3,64397,2209,47.3,0.3,47368,736,34.3,0.4,39848,841,13.1,0.2,73112,1806,32.6,(X),(X),(X),33.2,(X),(X),(X),28.5,(X),(X),(X)
0400000US08,08,Colorado,2039592,7530,61303,487,87.6,0.3,63790,853,3.6,0.1,41763,2462,0.9,0.1,47892,6058,2.4,0.1,60000,4901,N,N,51564,32497,3.1,0.2,40278,4092,2.3,0.2,50134,2795,15.8,0.2,44174,1575,75.9,0.3,67360,772,4.9,0.2,30444,1113,36.2,0.3,65913,1086,38.4,0.4,74234,1361,20.5,0.2,45093,841,1315283,8405,75405,844,45.7,0.6,71982,1197,54.3,0.6,77430,1167,76.5,0.6,87242,1057,16.0,0.5,38322,1234,7.5,0.4,51807,2810,724309,7586,38560,953,50.9,0.8,35272,765,40.8,0.8,30795,771,10.0,0.6,60086,4611,49.1,0.8,42699,1281,36.5,0.8,36383,936,12.7,0.7,67865,3212,28.3,(X),(X),(X),28.7,(X),(X),(X),25.9,(X),(X),(X)
0400000US09,09,Connecticut,1355817,6673,70048,828,80.9,0.4,76008,864,9.4,0.3,45002,3991,N,N,25971,19879,3.7,0.2,88529,5945,N,N,N,N,4.2,0.3,34444,4321,1.7,0.2,52546,6666,11.7,0.3,39148,2365,74.1,0.4,78959,1453,2.3,0.2,28838,3120,29.3,0.4,73982,2615,43.3,0.4,86666,1853,25.1,0.3,46216,909,887263,10002,88819,1385,42.7,0.7,87928,2363,57.3,0.7,89403,1659,73.3,0.7,106976,1289,19.4,0.7,40851,1438,7.3,0.5,58116,4072,468554,8539,39839,1186,56.7,1.0,32697,1246,49.4,1.2,29667,1135,7.3,0.6,69267,5072,43.3,1.0,47603,1927,34.3,0.9,41207,1113,9.0,0.6,83929,8365,31.9,(X),(X),(X),32.5,(X),(X),(X),28.7,(X),(X),(X)
0400000US10,10,Delaware,349743,3705,59716,1674,72.8,0.7,64388,2387,20.6,0.7,45264,2799,N,N,40086,24097,3.4,0.3,85172,16208,N,N,-,**,1.7,0.3,40843,6203,N,N,49267,5721,6.4,0.4,50525,2696,68.6,0.6,65361,1815,2.7,0.4,22138,7225,30.4,0.9,65037,3178,40.5,0.8,71504,2672,26.4,0.6,45510,2030,233000,4645,72594,1921,38.5,1.4,71518,2322,61.5,1.4,73417,2239,71.0,1.2,87100,2751,21.2,1.1,37912,2686,7.8,0.9,52021,5692,116743,4375,36973,1316,54.7,2.6,32327,1957,46.6,2.4,29444,2098,8.1,1.4,61093,7505,45.3,2.6,42035,2342,35.9,2.3,37372,2277,9.4,1.5,70542,8264,37.7,(X),(X),(X),37.4,(X),(X),(X),36.5,(X),(X),(X)
0400000US11,11,District of Columbia,277378,3304,71648,1996,45.1,0.9,114747,5103,45.9,0.9,40739,1796,N,N,N,N,3.7,0.3,84466,19755,N,N,-,**,2.9,0.5,48019,8090,2.0,0.4,72691,27195,8.0,0.7,63065,13111,41.1,0.8,117134,4932,4.2,0.4,31854,6909,46.0,0.9,84872,4478,31.6,0.9,71558,4752,18.2,0.6,47906,4081,117864,3359,84094,6264,41.6,2.0,68271,9078,58.4,2.0,94124,3446,56.2,2.2,142152,7954,35.7,2.0,35665,5384,8.1,1.3,50519,13569,159514,3865,61126,3665,55.8,1.6,56548,5324,45.3,1.5,44368,3763,10.5,1.1,113076,13777,44.2,1.6,66372,6193,32.2,1.7,50892,3352,12.0,0.9,128671,13318,30.5,(X),(X),(X),34.0,(X),(X),(X),27.0,(X),(X),(X)
